domain,Frequency count in our data,Higher > median (excl. zeros),National outlet to include in ideo scaling,Final include in ideo scaling,Twitter,Ideology point estimate,Ideology point estimate lower bound,Ideology point estimate upper bound,Ideology 3-level
echokatolickie.pl,5,FALSE,TRUE,TRUE,,,,,
gazetaslupecka.pl,5,FALSE,,FALSE,@gazetaslupecka,,,,
gloszabrza24.pl,5,FALSE,,FALSE,,,,,
otopanorama.pl,5,FALSE,,FALSE,@otopanorama,,,,
gpcodziennie.pl,4,FALSE,,FALSE,@GPCodziennie,0.390436,0.31122055,0.46856195,right
tvswietokrzyska.pl,4,FALSE,,FALSE,,,,,
chorzowianin.pl,4,FALSE,,FALSE,@chorzowianin,,,,
glosswidnika.pl,4,FALSE,,FALSE,,,,,
gpcodziennie.pl,4,FALSE,TRUE,TRUE,@GPCodziennie,0.390436,0.31122055,0.46856195,right
nowyobywatel.pl,3,FALSE,TRUE,TRUE,@NowyObywatel,-0.317191,-0.4438727,-0.18560385,left
starachowice-net.pl,3,FALSE,,FALSE,,,,,
gazetasredzka.pl,3,FALSE,,FALSE,,,,,
nasz-glos.com,3,FALSE,,FALSE,@NaszGlos,,,,
strzelecopolski.pl,3,FALSE,,FALSE,,,,,
ws-24.pl,3,FALSE,,FALSE,,,,,
kurier-ilawski.pl,2,FALSE,,FALSE,,,,,
opoczno-top.pl,2,FALSE,,FALSE,,,,,
7dni.com.pl,2,FALSE,,FALSE,,,,,
tv.starachowice.pl,2,FALSE,,FALSE,,,,,
miasto.koszalin.pl,2,FALSE,,FALSE,,,,,
podkarpacie.media.pl,2,FALSE,,FALSE,,,,,
klodzko24.eu,1,FALSE,,FALSE,,,,,
gazetamyszkowska.pl,1,FALSE,,FALSE,,,,,
noworudzianin.pl,1,FALSE,,FALSE,@noworudzianin,,,,
tygodnikpodlaski.pl,1,FALSE,,FALSE,@TPredakcja,,,,
terazprudnik.pl,1,FALSE,,FALSE,@tyg_prudnik,,,,
wiadomoscizaglebia.pl,1,FALSE,,FALSE,,,,,
ntvsadecka.pl,0,FALSE,,FALSE,,,,,
news.google.com/topstories?hl=pl&gl=PL&ceid=PL:pl,0,FALSE,,FALSE,,,,,
Naszapolska.pl,0,FALSE,,FALSE,,,,,
Ziemiadebicka.pl,0,FALSE,,FALSE,,,,,
tygodniknie.pl,0,FALSE,,FALSE,@TygodnikNIE,,,,
forumdwutygodnik.pl,0,FALSE,,FALSE,@DwutygodnikFor,,,,
dziennikpolski.pl,0,FALSE,,FALSE,,,,,
gazetapomorska.pl,0,FALSE,,FALSE,,,,,
września.info.pl,0,FALSE,,FALSE,,,,,
tc.ciechanow.pl,0,FALSE,,FALSE,,,,,
gazeta-mlawska.pl,0,FALSE,,FALSE,,,,,
tygodnikmakowski.pl,0,FALSE,,FALSE,,,,,
tygodnikprzasnyski.com.pl,0,FALSE,,FALSE,,,,,
donosy.info,0,FALSE,,FALSE,,,,,
citybydgoszcz.pl,0,FALSE,,FALSE,,,,,
czasciechanowa.pl,0,FALSE,,FALSE,,,,,
